"created_at","screen_name","text","retweet_count","name","location","description","followers_count","long","lat"
"2020-08-16 22:55:18","gmrstudios","A Sense of Doubt blog post #2006 - Your 2020 Personal Protection Equipment - WEEKLY HODGE PODGE for 2008.15. https://t.co/yc96OSKitH #stateofthehatenation #BidenHarrisLandslide2020 #GOPBetrayedAmerica #space #COVIDIOTS https://t.co/XD3KUFInyw",0,"gmrstudios","Portland, OR","Chris Tower: I am a writer of stuff...
posts on comic books, anti-racism, science, and creativity",204,-122.6587185,45.5122308
"2020-08-16 21:47:38","cowboyvamp","Yes! This. Capital runs amok (again) on #mars. 
#space #plutocrats #SciFi https://t.co/Ww7VrStdRs",1,"Kathleen McFall","Portland, Ore.","Giraffes and magma, plus Mars.",1950,-122.6587185,45.5122308
"2020-08-17 04:35:08","SmileSimplify","Whoa!! Lovely quilt, @AstroKarenN!

#needlework #art #space https://t.co/UXgJZnwz9o",0,"Do Good, 1 Day at a Time","SF/Bay Area, CA","Smile, Simplify, Share, Say Please & Thank you, Love, Live, Listen, Learn, Laugh, Help, Adapt :) Do not mistake my patience for gullibility.",1113,-122.416666666667,37.7833333333333
"2020-08-16 23:38:10","flat_earthstuff","#Satellites to not go into #space #samsung #balloon https://t.co/eZbktHmDF1",0,"Flat Earther","California, USA","The Earth is Flat. There's a Firmament above our heads. We've been & still are being lied to. Searching for the truth🌅",1194,-119.4179324,36.778261
"2020-08-17 02:00:00","erydejong","It’s either Alvin, Simon, or possibly Theodore. 

#StarTrekLowerDecks #scifi #space #fantasy #aliens https://t.co/Ab4bSd6PnZ",0,"Ery De Jong 🐳","Hollywood, CA","""air-y."" filmmaker. writer. producer. fan. #scifi #fantasy #horror 💞 tweets on fandom, filmmaking, writing. 🖖 #Diversity #WritingCommunity #CrohnsSurvivor",5542,-118.333333333333,34.1
"2020-08-17 00:35:50","astrosociology","#Space activities affect HUMANS  ON EARTH, and this impact will only intensify. Thus, while astronomers, cosmologists, &amp; all #STEM-based contributors do their work, it is vital that #SocialScientists study how this work is done and its impact on individuals and their societies. https://t.co/59zTsTgpoK",0,"Jim Pass, Ph.D. / Astrosociologist","Huntington Beach, CA","Founder of #astrosociology & CEO, Astrosociology Research Institute (ARI), a 501(c)(3) nonprofit edu./research org. The #SocialSciences are vital 4 #space, too!",2806,-117.9988026,33.6594835
"2020-08-17 03:41:12","mister_broyles","Multiple Column “sprites” ultrafast bursts of electricity that crackle through the upper regions of the atmosphere — between 37 and 50 miles up in the sky — and move towards space. Nature is amazing #weather #space #LightningStorm #nature https://t.co/om6zy4sVYa",0,"RealNewsNetwork","San Diego, CA","Its time to cancel the cancel culture. Antifa is an oxymoron. God Bless the USA",51,-117.1610838,32.715738
"2020-08-16 21:53:20","LaydenRobinson","A costly victory, and act of treason; a secret that could shatter it all. Read the masterful #SciFi here here &gt; https://t.co/dYDbNr7oLs #SundayReads #SFF #sciencefiction #military #space #KindleBooks  @DavidRebbitt",0,"Layden Robinson","San Diego, CA","""Don't ever be ashamed of your story.  Somewhere there is someone who will be inspired by it.""
Contact for Social Media Assistance: robinsonderek@hotmail.com",82684,-117.1610838,32.715738
"2020-08-17 01:06:23","EmmyGoat","Feeling Blue, Spacing Out 
.
.
.
I'm feeling every type of way while also not feeling a single thing and just trying to get through the rest of the day
.
#digitalart #ipadpro #ipadprocreate #procreate #procreateartist #furryart #fursona #stars #space #monochrome #vent #ventart https://t.co/YLRChGnLvD",1,"Emmy(1312)","Arizona","25 || photographer || digital artist || cat mom to a goofball named Toothless || engaged to the love of my life || shark lover",72,-111.0937311,34.0489281
"2020-08-17 02:11:19","ChristinaFavre","Painting on wood slice. Inspired by a @NASA photo of the Eta Carina Nebula from 2009. 
#sciart #astroart #space #STEM https://t.co/yscnqTdE5d",0,"Chrissy Sparks","Arvada, CO","Mom of 3, #AstroArt #Artist. #NASAsocial alum 🛰, #SciArt #SpaceArt, inspired by our place in the Cosmos.🚀🪐🌌🤩🌙💫",1391,-105.0874842,39.8027644
"2020-08-16 23:15:47","top10scariest","Milky Way  Sleep music,  music, Music for sleep, Relax music, Music for ... https://t.co/3N8uWNw0WR via @YouTube 
#YouTube #sounds #space",0,"Rest and Relax","Houston, TX","Here on Rest and Relax Meditation channel we want you to enjoy your rest and relax 


Follow Rest and Relax on Youtube",28,-95.3698028,29.7604267
"2020-08-16 22:46:03","nitescandle","Milky Way Whirlpool Galaxy Labels - Personalize them with your own name and address. https://t.co/n6HtI2xyFO #space #spaceforce #outerspace #universe #stars",1,"J. D. Jackson","Chicago, Illinois USA","children's books author
http://t.co/1aTDmK4i9e",5770,-87.6297982,41.8781136
"2020-08-16 21:56:52","RyanWalraven","This is how lightning looks on Jupiter from space! Credit: @NASA 

#Space #Science #Jupiter https://t.co/L4x2470H6I",2,"Ryan Walraven, PhD","Chicago, IL","Physicist, writer, psychonaut. In my free time I launch cats into space. Post your cat’s photo and I’ll launch them too! 🚀",1776,-87.6297982,41.8781136
"2020-08-16 20:35:48","bitar_mireille","16 amazing dark sky preserves around the world that protect the night sky  #nature #space https://t.co/6fzB1RRUiL",0,"Mireille Bitar, M.D.","Chicago, IL","Assistant Professor in Pathology, Associate Director of Neuropath fellowship @NU_Pathology #neuropathology | lover of nature, poetry and the Syriac language |",907,-87.6297982,41.8781136
"2020-08-17 04:54:31","JimmyRobertsTS","#GoodNight #Star Peeps, time to find a new home with my ~ #Starship ! 
https://t.co/wUB76XIxBD
#JimmyRoberts🎸.Jrob #Space #Spaceship #ScienceFiction #SciFi #Fantasy #blues #trending #disney #disneyworld #Cinema #Lover #Avengers #marvel #indiemusic #indieartist #pop #popmusic",1,"🅙🅘🅜🅜🅨 🅡🅞🅑🅔🅡🅣🅢","Nashville, TN","The Immortal Songwriter ~ Jimmy  has written 1000's of songs and recorded some of them also and has written songs for many nationally known artist.",1363,-86.9061437,36.0608046
"2020-08-17 01:09:58","therealbestdamn","NO MORE TIME TO OBEY https://t.co/8sAGtQf3a0 via @YouTube @therealbestdamn #LIVE #BreakingNews #News #TopStories #WorldNews #LatestNews #CurrentEvents #RecentlyUploaded #weather #politics #space #SpaceWeather #Trending #TheBestDamnPodcast #BestDamnPodcast #JonKeen #BDP #TBDP",1,"Best Damn Podcast","Cincinnati, OH","Creator & Host The Best Damn Podcast. Shattering Psyops, Religious indoctrination, Political Paradigms and reality itself...",3104,-84.5120196,39.1031182
"2020-08-16 22:51:53","desota","With the #economy sputtering, why is #RealEstate soaring? https://t.co/58y4gL9158 #residential #housing #properties #space #suburbs #mortgages #RemoteWork #bidding #wars #Detroit #Milwaukee #Greenwich #multiple #offers #employers #PPP #money #jobs #employment",0,"DeSota Wilson","Atlanta, GA","Biz Consultant, real estate, FinTech, startups, economy, military brat, @UNC, @KAPsi1911 ΘΟ, post are mine & not the view of my employer, RT not endorsement",8563,-84.3879824,33.7489954
"2020-08-17 04:08:10","JustinLeveque","Working on a new merch design...What do you think?

#wip #sketch #drawing #skulls #space https://t.co/TFkVIbbjOR",0,"Justin Leveque™","Detroit, MI","Graphic Designer. Artist. Husband and Dad. 
The suspense is terrible, I hope it will last.
Patreon: https://t.co/Jr4s46gBTH
Shop: https://t.co/kYx4fRc94Z",1044,-83.0457538,42.331427
"2020-08-16 22:36:46","tompkins4881","Crescent Saturn 
#space #solarsystem #Saturn #cassini https://t.co/5aYusjDiM8",1,"Kenneth G Tompkins","Detroit, MI","Art, Photography, Architecture, Sculpture, Street Art, Astronomy, Space, Planetary Science, Archaeology, Geology, Maps, Urban Planning, Cities, Detroit, Music",2306,-83.0457538,42.331427
"2020-08-17 01:01:35","Fang__Banger","IC 1705 Fish Head Nebula In HOO pallette
This is the first panel of a mosiac of IC 1805 Heart Nebula

#Astrophotography 
#Space

Taken with:
📸 @zwoasi 294mc pro
🪄   @Optolong_filter L Enhance https://t.co/E6XZGQzfwa",5,"Cody Davis","Florida","Astrophotographer
Skywatcher 100mm doublet apo refractor
Skywatcher eqm 35 pro
Zwo asi294mc pro
Canon eos rebel t7/t3 non modified
Orion star shoot autoguider",533,-81.5157535,27.6648274
"2020-08-16 23:35:49","KiahErlich","Weekend reading for this #spacenerd  ✨ on liquids that go #bang 🚀 What are you #reading? #rocket #propulsion #space #rocketry #space https://t.co/76MVCw0qsh",0,"Kiah Erlich","Washington, DC","NASA Director Orbital Launch 🚀 @BlueOrigin. 🛩 Pilot. BS and MBA in Aviation. Auburn Tiger, War Eagle! @miami_rick’s other half. Views are my own.",1800,-77.0368707,38.9071923
"2020-08-16 21:13:48","StillHumanShow","Hey y’all! Planet G Book 1 ebook free today and tomorrow on Amazon! #free #giveaway #space #aliens #aliensarereal https://t.co/45yvd0oM2b https://t.co/GtPySGV7oQ",0,"Jerry Underhill - Planet G","Washington, DC","""a cult classic in the making"", ""(a) hidden gem"", ""a heavy dream"", ""suspenseful"". Journey to the forested and inhabited world of Planet G.",1817,-77.0368707,38.9071923
"2020-08-16 20:50:24","RPimpsner","A month in time.

#AfterEffects
#Sun #Mercury #Venus #Earth #Mars #Moon #Space https://t.co/T2jZy81t7g",0,"Robert M. Pimpsner","Staten Island, NY","Founder, Managing Partner - @PinstripedPros  | #Yankees #MiLB Beat Writer since 2003  |  #KappaSigma and #Freemason  |  Photographer  |  Cook  | Wrestling Fan",2686,-74.1415,40.5698333333333
"2020-08-17 00:44:34","SamuraiDLH","Exploring the Space System  #space #NoMan'sSky #co-op #stream https://t.co/57d0LvEcNe",0,"Daniel Hernandez","Teaneck, NJ","I like to live in the moment, plan nothing and have fun with everything.",107,-74.0068333333333,40.8875
"2020-08-16 20:10:34","CAnatalio","2020 is the Great Filter.

Video by @Kurz_Gesagt

#aliens #space #astronomy #2020worstyear #fuck2020

https://t.co/BeVhSRhSdk",0,"Chris Anatalio","Portland, OR","Software Engineer at @SkywardIO and @LI_Learning Technical Author #AlwaysBeLearning",357,-122.6587185,45.5122308
"2020-08-16 18:41:44","rowenaclima","Neat @Kurz_Gesagt video about #asteroidmining! #space https://t.co/wYXJQvquqS",0,"Rowena Clima","Seattle, WA","🚀🍨🦜 🎒🌲",47,-122.3320708,47.6062095
"2020-08-16 18:36:34","Eusebius64","News from the EIR Daily Emergency Alert Service: Lozansky Calls for Rethinking U.S.-Russia #Policy Around #SilkRoad #Projects and #Space

Aug. 15, 2020 (EIRNS)—https://t.co/oK5wXQT7y3",0,"Miko Dzagi 🇺🇸 🇷🇺 🇦🇲","California, USA","Certified #PranicHealer| Born in The Image of The Creator|Striving2Make Our Planet🌏Beautiful+Peaceful by Creating True Harmony Amongst Mankind🙏#NewSilkRoad",589,-119.4179324,36.778261
"2020-08-16 18:31:38","KaplanSchiller","#Nematodes can infect in #space in #microgravity. What happened when they came back to Earth was a total surprise. @Nanoracks @ISS_CASIS @ISS_Research @nresearchnews @Nature_NPJ 
https://t.co/lcPmvzKbS8",6,"Dr. Fatma Kaplan","Davis, CA","CEO and co-founder @Pheronym @Indbio 
#scientist #inventor #innovator #pheromones #biocontrol #organic #nematodes #insect #astronematode #wormsinspace",2073,-121.7405167,38.5449065
"2020-08-16 18:23:40","Alayna_R","Not sure how true this is but freaking awesome #Saturn #moon #Space https://t.co/NNEyFbOy85",0,"Alayna","San Antonio TX","You cant change how people treat you or what they say about you. All you can do is change how you react to it! Hey✌️",57,-98.4936282,29.4241219
"2020-08-16 17:34:15","_Nocterminal_","A clip from the #beat ""Cassini's Ghost""

#ElectronicMusic #HipHop #Instrumental #Space #Nasa #Saturn #Indie #Music #Producer https://t.co/uwXhi6Jvm8",3,"Nocterminal","Lake Charles, LA","Electronic music producer, hashtagger. All my music is on YouTube and SoundCloud. https://t.co/pzSydXhWuA",1072,-93.2173758,30.2265949
"2020-08-16 16:44:38","JS_Arquin","Blast off with the Sci-Fi Invasion!

https://t.co/qGHSlsh4yC via 
@BookFunnel

#scifi #books #ebooks #freebooks #bookgiveaway #indieauthors #read #reading #readers #action #adventure #dystopian #space #spaceships #lasers #invasion #colony #planets #aliens #kindle #kobo #bookworm https://t.co/pdjd9GBF9e",1,"J.S. Arquin","Portland, OR","Author of The Crimson Dust Cycle: 
https://t.co/m6Ap8sUqtw 
Podcaster @NWOvercast. Mostly Harmless.             
Audiobook narrator at https://t.co/uiG4sztGoB",4215,-122.6587185,45.5122308
"2020-08-16 16:40:36","LadyRocketSpace","While I continue my quest to build #California #Space Center in LA ,#VandenbergAFB area with all the challenges,I became aware of incredibly different attitude of Oklahoma City leaders;who knows maybe Our California Space Center will happen in #Oklahoma  https://t.co/qt7KHMoN74",0,"Lady Rocket Eva Blaisdell","Los Angeles, CA","Passionate Space entrepreneur, new Space Media ,Space ThinkTank,founder California Space Center,Space Culture, “ be better on Earth before we go in Space",1513,-118.2436849,34.0522342
"2020-08-16 16:29:33","RajAgra","'A #space rock the size of a washing machine had broken up in the skies over the village, and the excitement was about to spread globally.'

https://t.co/s4047MarTM

#cosmos",0,"Rajat N Agrawal, MD","California, USA","#Ophthalmologist & #Retina Specialist; SVP, Clinical Development, Coherus Biosciences; President & CEO, @RetinaGlobal1. #AI #ClinicalTrials - Views personal.",1455,-119.4179324,36.778261
"2020-08-16 16:21:53","IntraspexInc","Want to experience weightlessness like the @NASA or @SpaceX astronauts do. @ZEROGResearch offers flights for this. #space https://t.co/MrjDegWHt7 https://t.co/dz2goA4UK1",0,"Intraspex, Inc.","Orange County, California","A full service security consulting & investigations firm serving businesses, individuals, law firms, and schools. CA PI #188020",98,-117.783333333333,33.6666666666667
"2020-08-16 16:01:31","ScottStantis","Ever get the feeling we wouldn't be very welcome by alien planets?
https://t.co/XghFM2sHw0
#space #spaceexplorer #COVID19 #coronavirus #Quarantine #washyourhands https://t.co/61RiE2g1eo",0,"Scott Stantis","Chicago, IL","Editorial Cartoonist. Creator of Prickly City comic strip. Libertarian-Conservative-Contrarian-Catholic. Tweets my own. Retweets do not equal endorsement",1606,-87.6297982,41.8781136
"2020-08-16 15:55:20","fernane506","This is straight out of a Marvel movie #space NASA shares stunning photo of Jupiter and Saturn rising beyond 'Alien Throne Rock' #SmartNews  https://t.co/iVAI0UtyxO",1,"Edgar Fernandez","New York, NY","Co-founder https://t.co/6EL0AzBX4d. Finding middle ground btw CR and NYC. Statements are my own opinions, not investment advice. Retweets are not endorsements.",166,-74.005974,40.712776
"2020-08-16 15:06:34","JerryCallaio","#Science #Space #Physics #Astronomy  #Cosmology  #Technology
The motor was fired for about 90 seconds in support of future missions of the powerful United Launch Alliance Vulcan Centaur rocket, whose first voyage will send a robotic lander to the moon. 
https://t.co/AQQRLh9lGo",0,"JerryCallaio","Florida","Pay No Attention 2 That Man Behind The Curtain!#PROGRESSIVE #LGBT #ACTIVIST Expose RWNJ Lies! #Technology #Science #Space #Astronomy #Cosmology #Physics #RESIST",13234,-81.5157535,27.6648274
"2020-08-16 14:30:19","MittlemanAndrew","Don’t meet your heroes because they may be possessed by the ghost of Mars. Goofy, but fun ep, love a good rocket launch 1x09 #space #xfiles 👽👽👽 out of 5 https://t.co/2I0JA8jj79 https://t.co/eZLIVPSjTn",0,"Andrew Mittleman"," New Jersey","Nerd stuff, movies & more",26,-74.4056612,40.0583238
"2020-08-16 14:23:16","mainiac1820","Unlimited #Resources From #Space – #Asteroid #Mining - YouTube https://t.co/H0Kjoqicvc",0,"I don't care about that 🤯","South Carolina, USA","None of these are some of these things will work out the end of life.",200,-81.1637245,33.836081
"2020-08-16 14:19:09","DavePollotArt","Last few hours to order prints!  Won't be printing this one again after this release - closes at 12 p.m. EST today.  https://t.co/F1AgsaCAiw 🛸 📡 👽 #ufo #flyingsaucer #alien #aliens #printrelease #spacex #outerspace #space #extraterrestrial #RoswellNM  #Area51 #encounter https://t.co/MP9dKMYI0Q",4,"Dave Pollot","New York, USA","Oil on Found Art -
Instagram: @davepollotart",2771,-74.0059728,40.7127753
"2020-08-16 14:07:30","mark_tarello","PASS IT ON: Planets Venus, Mars, and the Moon will appear in the southeast sky Monday morning an hour before sunrise! #Space https://t.co/NdG2fE1JhK",41,"Mark Tarello","Mankato, Minnesota.","Chief Meteorologist at KEYC News Now. A CBS, FOX, & NBC affiliate. Bringing 23 years of TV weather experience to southern Minnesota & keeping you informed 24/7.",16556,-93.9993996,44.1635775
"2020-08-16 14:02:48","bradmwest","This sounds really exciting, but that image of the asteroid kind of looks like the Death Star. 🤔 #Space
#StarWars
https://t.co/Z4zNVH3Rem",0,"Brad West 📱","Palm Coast, FL","Just a socially awkward social media guy. Digital Media Coordinator
👨‍💻🖱️📱📸🎥

*Opinions are my own.",1106,-81.2078699,29.5844524
"2020-08-16 13:58:58","athenaalvane","My two favourite galaxies ✨❤️ ‘ Black Eye ‘ ‘ sombrero ‘ #space https://t.co/vSHnkIKqx1",1,"Athena | اثينا 🏳️‍🌈♀️","LA ","العالم يحتاج لثورة تقودها امرأة",140,-91.9623327,30.9842977
"2020-08-16 13:43:47","EndlessinkPub","Writing fodder?
#amwriting #space #Weird https://t.co/YnUvii30PZ",1,"Endless Ink Publishing House","Denver, CO","Home of the series:
-Earth's Final Chapter
-Into the Savage
-The Last Diaspora

#makereadingcool #undergroundreader #indiebooks #smallpresslove #EFC #ITS #TLD",1708,-104.990251,39.7392358
"2020-08-16 12:24:40","Totalityfilms","Caught this awesome shot of the moon at 4:30am. I couldn't find my tripod, so this baby is handheld while leaning on a post. 🌙😁
#moon #luna #themoon #satellite #space #orbit #solarsystem #photo #photography #picoftheday #pic #totalityfilms https://t.co/jADuK8kafM",0,"Totality Films","Arizona, USA","Award Winning Film Producer & UAV Drone Pilot🌵",67,-111.0937311,34.0489281
"2020-08-16 10:35:55","CareUrDeal","43% Off

Phone Holder for Car

https://t.co/jUc92Ycovv

#automotivegram #instatech #amazon #mount #iphone #iphone11 #11pro #8plus #xsmax #samsunggalaxy #samsung #deal #phone #holder #universal #neck #apple #max #plus #korea #cosmos #space #sony #dark #gray #check #moredark https://t.co/P70T3sbYM7",0,"#AmazonDeal","United States,NY","#USA #UK #Coupons #Discount #Fashion #Beauty #Grocery #Toys #Games #Electronic #Clothing #Kitchen #AliExpress #Amazon #Walmart. Join here https://t.co/E2Y1yS4iax",1145,-101.666666666667,40.6666666666667
"2020-08-16 08:35:08","EDITORatWORK","#astronomy Video links to ASTRONOMY and science #stars #Betelguese #planets #moons #suns #space #neutronstars #asteroids
https://t.co/LJDo8sFD5N",0,"Tom Gillispie","Rural Hall, North Carolina, USA","★ READING ★ WRITING ★ DOGS ★ FOOTBALL ★ SINGING 
★ STAR TREK ★ MYSTERY AND SCIFI BOOKS ★ WESTERNS. EMAIL: tgilli52@gmail.com",4022,-80.2933838,36.2404158
"2020-08-16 06:47:59","Fang__Banger","IC 1795 Fish Head #Nebula 
A blend of Hydrogen Alpha and Oxygen 3

Yup!  You know where this is going....

Getting ready for an other HOO pallette

#Astrophotography 
#Space
#Backyardphotography https://t.co/eb6JXSqWNa",2,"Cody Davis","Florida","Astrophotographer
Skywatcher 100mm doublet apo refractor
Skywatcher eqm 35 pro
Zwo asi294mc pro
Canon eos rebel t7/t3 non modified
Orion star shoot autoguider",533,-81.5157535,27.6648274
"2020-08-16 05:40:07","Alexabliss0099","#Great #Space
https://t.co/7qwxpw9Znk
It's a very interesting project with smart and strong team and an ambitious project will be continuously work on the project and it's so obvious that they prioritize the future.",1,"Alexa Bliss","New York, USA","💯💯💯💯Please all friends follow us,,, Believe me Iam💯💯💯💯 100% Follow back 💯💯💯💯",3492,-74.0059728,40.7127753
"2020-08-16 05:30:56","LadyRocketSpace","important to recognize American heroes of #Moon landing 1969 and Its  #IBM https://t.co/f5aibTM1sV is welcomed back to partnering in new  Space economy where new companies like mine do  Space new way and tell the  #Space story.building massive blockchain  https://t.co/FCuLukL0ya",0,"Lady Rocket Eva Blaisdell","Los Angeles, CA","Passionate Space entrepreneur, new Space Media ,Space ThinkTank,founder California Space Center,Space Culture, “ be better on Earth before we go in Space",1513,-118.2436849,34.0522342
"2020-08-16 04:08:49","JustinOtto777","Space artist &amp; amazing being, @CathrinMachin
 joins me in this episode to talk about #space, the #Universe, nervous breakdowns, #art, #DMT &amp; other #psychedelics, #manifestation, Morgan Freeman reads Graham Hancock &amp; more! #podcast #buddhism 
https://t.co/ZKtsR20x7F",3,"Justin Otto","Pensacola, Florida","Host of Dharma Junkie Podcast, Interdimensional Explorer, Counterculturalist, Normal Human",105,-87.2169149,30.421309
"2020-08-16 03:51:56","ZGFGaming","We're still working on the new ship, and still need a good name for it! But it's nearing completion, about 3/4s of the way! Also, new drone! Streaming Space Engineers at https://t.co/mzMqPAqTMq

#SupportSmallStreamers #SpaceEngineers #space #twitch #stream #streaming #streamer https://t.co/vnV2x88Sg9",4,"ZGF Gaming","Utah, USA","Gaming community and streamers centered around tolerance and fun! https://t.co/HiQ0C9MGox 

Variety streamer with D&D and more!",158,-111.0937311,39.3209801
"2020-08-16 03:29:14","AtlanticECS","""Perseid meteor shower 2020 brings celestial fireworks to the night sky""
.
.
#space #science #environment
.
.
https://t.co/a22b4tsQTn",0,"AtlanticECS","Warren, NJ","Atlantic ECS is an environmental consulting firm based in New Jersey that operates nationally to find solutions to environmental problems of today and tomorrow.",148,-74.5181666666667,40.6341666666667
"2020-08-16 02:42:46","therealbestdamn","THE BEGINNING OF THE END... https://t.co/87XyJFfi8b via @YouTube @therealbestdamn #news #breakingnews #breaking #worldnews #latestnews #current events #topstories #trending #live #politics #weather #space #recentlyuploaded",1,"Best Damn Podcast","Cincinnati, OH","Creator & Host The Best Damn Podcast. Shattering Psyops, Religious indoctrination, Political Paradigms and reality itself...",3104,-84.5120196,39.1031182
"2020-08-16 02:26:48","OnlyCarlosQ","I would leave everything behind just for an opportunity to see the blue marble from outside and witness how it floats weightless. #Space https://t.co/YP4JnDhGl9",1,"Carlos","Winnipeg, Manitoba","Salvadoreño living in the north. I work with people's most important feeling = money 💰. Love space, science, our planet, movies, politics and progressive minds",59,-97.1368333333333,49.893
"2020-08-16 02:05:32","RebelSmith626","Taylor is a puppet here is  her new 
DNC ad

@KateIsTheBoss78 
@HCDotNet_v2 
@8finjackson3 
@posonaut 
@DebLove452 

#Blank  #Space #SignHere @taylorswift13 https://t.co/R1i4A5Shot",3,"Jon","California, USA","Catholic Pro-life freedom loving capitalist ♥️Kate the only one ♥️",2288,-119.4179324,36.778261
"2020-08-16 01:15:21","Ericrqueen","Don't miss Page 505 of #Space School.
 https://t.co/9g7IayWXrd #WEBTOON",0,"Man in Black","Omaha, Ne","He/him From and living in Omaha, Nebraska, USA. Hello. A straight, divorced, but back together with my ex. Empathic, quick tempered, Introvert.",113,-95.9345034,41.2565369
"2020-08-16 00:52:45","scottlevine13","I'm looking up at #Jupiter and #Saturn tonight. I wonder who else is, or wants to be, but doesn't know. I'm thankful for all of the #astronomy folks out there but, for now, *those* people are the ones I want to talk to. #space https://t.co/wiGtk4PoV3",2,"Scott Levine","Westchester, NY","Dad, writer, speaker, soup fan. Let's talk everyday #astronomy! #LightPollution Published in @skyandtelescope, @skyatnightmag @earthskyscience @examinermedia",526,-73.7666666666667,41.15
"2020-08-16 00:13:11","MargaretSiegien","This gas giant orbiting a bright star named GJ 504 in 2013. Several times the mass of Jupiter and similar in size.
#universe  #astronomy #planet #space #science 
@MargaretSiegien @PawlowskiMario 

 https://t.co/PQvzm6c30C",4,"Margaret Siegien 💫 🌎🚀","Chicago , IL , USA","President at @iTrucker_ Passionate about #tech #AI #IoT #HealthTech #Innovation #EmergingTech #Space #SocialMedia #Science #SupplyChain #SMM #VR #AR #CES2021",3667,-87.6297982,41.8781136
"2020-08-16 00:06:10","ttende2","Impressive the progress SpaceX is making #SpaceX #progress #myopinion #Opinion #OO #nasa #space",1,"ttende","Ohio, USA","A free space for all opinions, I want to become the president one day so feel free to debate with me on anything! side note:I will follow back if i see you.",13,-82.907123,40.4172871
"2020-08-15 23:52:00","LagItOnTheBlame","Stream later! Stay stuned #space #NoMansSky #StreamerCommunity",0,"BlameItOnTheLag™️🇵🇷✊🏽","Chicago, IL","Nobody has all the answers. We shouldn’t pretend we do",132,-87.6297982,41.8781136
"2020-08-15 22:49:22","SheetzMcconahy","Help make it happen for A Journey to the Moon - Animated Short https://t.co/neyeu7Qect #indiegogo via @indiegogo 
#spacefans #cute #cartoon #space #moon #share #spacehipsters",0,"Michelle McConahy Sheetz","Texas, USA","Writer • Producer • Legion M • Women in Media • NWU • ISA • Film Enthusiast • Number Cruncher • Information Sponge • Space Fan • Mom",1230,-99.9018131,31.9685988
"2020-08-15 22:45:44","JDArtist","😔👉🏼 “A cable cut a large gash into the telescope — who knows when it will be back in working order.”

#space 🚀 #Arecibo 🛰 #SETI

(@arstechnica)   https://t.co/mRpaVhVScx",1,"uosıƃɹǝɟ lǝɥʇ ","Indiana","Graphic Artist, Mom, Trekker, Whovian, MacHead and Lifelong Evil Liberal ~~~~~~ 🌊🐞🌊 ☮️ 🌊🖖🏽🌊",2269,-86.1349019,40.2671941
"2020-08-15 22:33:20","LaydenRobinson","A costly victory, and act of treason; a secret that could shatter it all. Read the masterful #SciFi here here &gt; https://t.co/dYDbNr7oLs #SaturdayVibes #SFF #sciencefiction #military #space #Kindle @DavidRebbitt https://t.co/ielsw5kpNO",1,"Layden Robinson","San Diego, CA","""Don't ever be ashamed of your story.  Somewhere there is someone who will be inspired by it.""
Contact for Social Media Assistance: robinsonderek@hotmail.com",82684,-117.1610838,32.715738
"2020-08-15 22:24:16","stanshull","Time for my monthly #SeattleSpace job index.

Open roles declined again this month, mostly due to fewer unfilled positions at Blue Origin.

However, #BlueOrigin remains the top hiring #space company in the #Seattle area followed by #Amazon #ProjectKuiper and #SpaceX #Starlink. https://t.co/1eI1mmieq9",2,"Stan Shull","Seattle, WA","Space & software industry consultant: strategy, partnerships & ecosystem development. Love maple syrup.",612,-122.3320708,47.6062095
"2020-08-15 22:23:25","SkilledHardcore","- new born of planet - 
Instagram: graphiczcode
twitter: skilled hardcore       

Size: 1801/1013 Height: 690 KB
hashtag #skilledofdesign #planet #GraphicDesign #photo #Space it is a lot of things on those other planet https://t.co/aq9b4iAkBM",0,"Skilled Hardcore","Winston-Salem, NC","I do graphic images on this account more down below. 

Here is my game accound @Rax3th ⬅️",951,-80.244216,36.0998596
"2020-08-15 21:30:28","EthanAtwell","I'm so grateful I re-discovered #space💖 I went much of my life keeping it at arm's length because I didn't believe I could ever be part of it. Now, I'm finding my niche and true purpose. Delve into your passions, that's where it happens! #Space2Inspire",1,"Ethan Atwell","Stillwater, OK","Space & Nature lover * Founder @SpaceForTrades * Energy & Power trade student, future Aerospace Eng * CAD/CAM/CNC/WebDev/IT/Telecom * Rock-n-Roll 4-ever 🎸",225,-97.0583681,36.1156071
"2020-08-15 21:23:57","HaysCD","Those Martian “blueberries” are so intriguing. I know there are plenty of perfectly logical explanations for #hematite #spherules, but I’m still John Carter-ing it. #space #mars #scifi https://t.co/9Ju9OzScDz",0,"Clark Hays","Portland, OR","Author, cloud fancier, whiskey enthusiast and sore loser at backgammon.",43,-122.6587185,45.5122308
"2020-08-15 21:20:55","JS_Arquin","Find your new favorite author in this ebook giveaway!

https://t.co/FaXDa3QbXh via 
@BookFunnel

#scifi #fantasy #books #ebooks #read #reading #kindle #kindledeals #indieauthors #magic #space #dystopian #action #adventure #epic #swords #lasers #READINGRUSH2020 #Hero #booklovers https://t.co/6bYLKjlvIi",2,"J.S. Arquin","Portland, OR","Author of The Crimson Dust Cycle: 
https://t.co/m6Ap8sUqtw 
Podcaster @NWOvercast. Mostly Harmless.             
Audiobook narrator at https://t.co/uiG4sztGoB",4215,-122.6587185,45.5122308
